,MovieCode,MovieName,CompanyName,BestScreenNum,AverageShare,TotalScreenNum,TotalAudienceNum
173,20179101,공작,씨제이이앤엠(주)  CJ ENM Corp.,1317,0.1318775,27442,4966130
174,20080071,노인을 위한 나라는 없다,주식회사 해리슨앤컴퍼니  Harrison & Company,27,0.00425,44,78755
175,20153446,너의 결혼식,메가박스중앙(주)플러스엠  Megabox Plus M,970,0.1427441176470588,22386,2807302
176,20179044,더 스퀘어,아이 엠  eye m,42,0.007,112,6477
177,20170670,목격자,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1021,0.11611612903225804,18423,2519455
178,20187427,명탐정 코난 : 제로의 집행인,씨제이이앤엠(주)  CJ ENM Corp.,542,0.05735333333333333,4721,384455
179,20184802,몬스터 호텔 3,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,715,0.08849999999999998,10561,1056829
180,20187647,나를 차버린 스파이,(주)누리픽쳐스  NOORI PICTURES,278,0.0397,3274,250718
181,20183584,메가로돈,워너브러더스 코리아(주)  Warner Bros. Korea,601,0.07571333333333333,6163,523539
182,20187641,극장판 도라에몽: 진구의 보물섬,(주)이수C&E  ,463,0.07101428571428571,2862,151095
183,20187683,플로이,(주)스마일이엔티  Smile Ent.,209,0.03505,402,23887
184,20187657,마일22,(주)팝엔터테인먼트  Pop Entertainment,203,0.03175714285714286,1094,59282
185,20185046,서치,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,1096,0.12346749999999998,22499,2944133
186,20177537,상류사회,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",867,0.12470999999999999,11451,763097
187,20139221,그래비티,주식회사 해리슨앤컴퍼니  Harrison & Company,52,0.010537499999999998,402,3270013
188,20189362,업그레이드,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,220,0.04363076923076922,2425,186532
189,20189261,어드리프트:우리가 함께한 바다,(주)이수C&E  ,490,0.09741666666666667,2699,51643
190,20188446,양말요정 휴고의 대모험,와이드 릴리즈(주)  Wide Release,354,0.055933333333333335,843,18579
191,20177308,협상,씨제이이앤엠(주)  CJ ENM Corp.,918,0.10786896551724133,15547,1963565
192,20156554,물괴,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",1184,0.1465625,9810,717819
193,20172204,명당,메가박스중앙(주)플러스엠  Megabox Plus M,1115,0.1363909090909091,15163,2070288
